,Rank,Player,Name,Price,Link,TournamentIdx
248,2,Luce Sedania,Azorius Aggro,668.0,https://mtgtop8.com/event?e=80793&d=814067&f=ST,15
249,3,Skylar Pastor,Izzet Lesson,495.0,https://mtgtop8.com/event?e=80793&d=814068&f=ST,15
250,4,Charles Pierce,Izzet Prowess,862.0,https://mtgtop8.com/event?e=80793&d=814069&f=ST,15
251,5,Rssp1,Azorius Aggro,662.0,https://mtgtop8.com/event?e=80793&d=814071&f=ST,15
252,6,Mike Dionesotes,Izzet Spellementals,315.0,https://mtgtop8.com/event?e=80793&d=814070&f=ST,15
253,7,Andrew Tenjum,Mono Green Landfall,656.0,https://mtgtop8.com/event?e=80793&d=814072&f=ST,15
254,8,Daniel Genova,Simic Nature's Rhythm,1104.0,https://mtgtop8.com/event?e=80793&d=814073&f=ST,15
255,9,Xander Naumenko,Azorius Aggro,668.0,https://mtgtop8.com/event?e=80793&d=814076&f=ST,15
256,10,Alex Purdy,Izzet Lesson,547.0,https://mtgtop8.com/event?e=80793&d=814079&f=ST,15
257,11,Pattiemurr,Izzet Lesson,585.0,https://mtgtop8.com/event?e=80793&d=814081&f=ST,15
258,12,Teemoney,Jeskai Aggro,769.0,https://mtgtop8.com/event?e=80793&d=814080&f=ST,15
259,13,Mitch Sachs,Mono Green Aggro,390.0,https://mtgtop8.com/event?e=80793&d=814075&f=ST,15
260,14,Matthew Glick,Roaming Elementals,938.0,https://mtgtop8.com/event?e=80793&d=814077&f=ST,15
261,15,Conner Hursh,Simic Nature's Rhythm,1075.0,https://mtgtop8.com/event?e=80793&d=814074&f=ST,15
262,16,Ophelia Silva,Temur Full Bore Harmonizer,434.0,https://mtgtop8.com/event?e=80793&d=814078&f=ST,15
263,1,Samuel Braatz,Gruul Aggro,627.0,https://mtgtop8.com/event?e=80795&d=814090&f=ST,16
264,2,Sergeykr,Superior Reanimator,905.0,https://mtgtop8.com/event?e=80795&d=814091&f=ST,16
265,3,Raymond Menkov,Izzet Lesson,486.0,https://mtgtop8.com/event?e=80795&d=814093&f=ST,16
266,4,Christopher Henderson,UW Control,621.0,https://mtgtop8.com/event?e=80795&d=814092&f=ST,16
267,5,Ian Thorne,Izzet Lesson,583.0,https://mtgtop8.com/event?e=80795&d=814094&f=ST,16
268,6,Evan Heritage,Izzet Lesson,633.0,https://mtgtop8.com/event?e=80795&d=814096&f=ST,16
269,7,Violet,Izzet Lesson,582.0,https://mtgtop8.com/event?e=80795&d=814097&f=ST,16
270,8,Jesse Aguirre,Temur Full Bore Harmonizer,492.0,https://mtgtop8.com/event?e=80795&d=814095&f=ST,16
271,1,Quintin Myers,Simic Nature's Rhythm,1095.0,https://mtgtop8.com/event?e=80801&d=814146&f=ST,17
272,2,Alexander Beebe,Temur Full Bore Harmonizer,348.0,https://mtgtop8.com/event?e=80801&d=814147&f=ST,17
273,3,Ethan Kolby,Izzet Lesson,549.0,https://mtgtop8.com/event?e=80801&d=814149&f=ST,17
274,4,Jacob Franz,Red Deck Wins,182.0,https://mtgtop8.com/event?e=80801&d=814148&f=ST,17
275,5,Jack Cramer,Boros Aggro,619.0,https://mtgtop8.com/event?e=80801&d=814151&f=ST,17
276,6,Majicmiranda,Dimir Aggro,438.0,https://mtgtop8.com/event?e=80801&d=814150&f=ST,17
277,7,Kevin Thomas,Orzhov Control,475.0,https://mtgtop8.com/event?e=80801&d=814152&f=ST,17
278,8,Camkan,Simic Nature's Rhythm,1081.0,https://mtgtop8.com/event?e=80801&d=814153&f=ST,17
279,1,Justin Christensen,Azorius Aggro,693.0,https://mtgtop8.com/event?e=80794&d=814082&f=ST,18
280,2,Loganhesch,Bant Airbending,784.0,https://mtgtop8.com/event?e=80794&d=814083&f=ST,18
281,3,Vaughn Weirens,Mono Green Aggro,623.0,https://mtgtop8.com/event?e=80794&d=814085&f=ST,18
282,4,Lime360jr,Temur Full Bore,415.0,https://mtgtop8.com/event?e=80794&d=814084&f=ST,18
283,5,Cole Weinstein,Izzet Control,310.0,https://mtgtop8.com/event?e=80794&d=814086&f=ST,18
284,6,Trystan Alexander,Roaming Elementals,1037.0,https://mtgtop8.com/event?e=80794&d=814087&f=ST,18
285,7,Matthew Richter,Roaming Elementals,898.0,https://mtgtop8.com/event?e=80794&d=814089&f=ST,18
286,8,Mike Gallichet,UR Aggro,460.0,https://mtgtop8.com/event?e=80794&d=814088&f=ST,18
287,1,Brian Feria,Mono Green Aggro,629.0,https://mtgtop8.com/event?e=80803&d=814162&f=ST,19
288,2,Michael Paluta,Mono Green Landfall,627.0,https://mtgtop8.com/event?e=80803&d=814163&f=ST,19
289,3,Dustin Thompson,Dimir Aggro,587.0,https://mtgtop8.com/event?e=80803&d=814164&f=ST,19
290,4,Zach Boblitt,Izzet Lesson,725.0,https://mtgtop8.com/event?e=80803&d=814165&f=ST,19
291,5,Rafael Marin,Izzet Lesson,642.0,https://mtgtop8.com/event?e=80803&d=814167&f=ST,19
292,6,Evan Vetter,Superior Doomsday ,558.0,https://mtgtop8.com/event?e=80803&d=814168&f=ST,19
293,7,Jacob Ginsparg,Temur Full Bore Harmonizer,503.0,https://mtgtop8.com/event?e=80803&d=814166&f=ST,19
294,8,Gladstone210,UR Aggro,463.0,https://mtgtop8.com/event?e=80803&d=814169&f=ST,19
295,1,Gabriel Balannik,Izzet Lesson,633.0,https://mtgtop8.com/event?e=80797&d=814106&f=ST,20
296,2,Gunner Sledgeski,Rakdos Monument,503.0,https://mtgtop8.com/event?e=80797&d=814107&f=ST,20
297,3,Mae French,Izzet Lesson,591.0,https://mtgtop8.com/event?e=80797&d=814108&f=ST,20
298,4,Zachary Kidd,Mono Green Landfall,633.0,https://mtgtop8.com/event?e=80797&d=814109&f=ST,20
299,5,Jordan Selesnick,Dimir Aggro,587.0,https://mtgtop8.com/event?e=80797&d=814111&f=ST,20
300,6,Michael Moore,Dimir Aggro,680.0,https://mtgtop8.com/event?e=80797&d=814113&f=ST,20
301,7,Sean Zhou,Mono Green Landfall,632.0,https://mtgtop8.com/event?e=80797&d=814112&f=ST,20
302,8,Braeden Bierman,Rakdos Monument,496.0,https://mtgtop8.com/event?e=80797&d=814110&f=ST,20
303,9,L Anselmi,Azorius Aggro,683.0,https://mtgtop8.com/event?e=80797&d=814119&f=ST,20
304,10,Jim Morrison,Izzet Lesson,606.0,https://mtgtop8.com/event?e=80797&d=814117&f=ST,20
305,11,Bailey Montressor,Izzet Lesson,582.0,https://mtgtop8.com/event?e=80797&d=814121&f=ST,20
306,12,Kevin Kingsley,Izzet Spellementals,314.0,https://mtgtop8.com/event?e=80797&d=814116&f=ST,20
307,13,Brandon Williams,Izzet Spellementals,330.0,https://mtgtop8.com/event?e=80797&d=814118&f=ST,20
308,14,Alex Poulosky,Red Deck Wins,235.0,https://mtgtop8.com/event?e=80797&d=814115&f=ST,20
309,15,Rhfre,Superior Doomsday ,646.0,https://mtgtop8.com/event?e=80797&d=814114&f=ST,20
310,16,Tyler Rebhahn,Superior Doomsday ,622.0,https://mtgtop8.com/event?e=80797&d=814120&f=ST,20
311,1,Josh Glantzman,Izzet Lesson,633.0,https://mtgtop8.com/event?e=80802&d=814154&f=ST,21
312,2,Luke Vankleek,Mono Green Landfall,699.0,https://mtgtop8.com/event?e=80802&d=814155&f=ST,21
313,3,Justin Blackburn,Dimir Aggro,537.0,https://mtgtop8.com/event?e=80802&d=814157&f=ST,21
314,4,Izaak Van Til,UR Aggro,591.0,https://mtgtop8.com/event?e=80802&d=814156&f=ST,21
315,5,Pottelee,Azorius Aggro,651.0,https://mtgtop8.com/event?e=80802&d=814159&f=ST,21
316,6,Charlie Drevecky,Red Deck Wins,229.0,https://mtgtop8.com/event?e=80802&d=814158&f=ST,21
317,7,Brett Eischens,Simic Nature's Rhythm,1065.0,https://mtgtop8.com/event?e=80802&d=814161&f=ST,21
318,8,Devon Straub,Superior Doomsday ,762.0,https://mtgtop8.com/event?e=80802&d=814160&f=ST,21
319,1,Cheech2k10,Mono Green Aggro,574.0,https://mtgtop8.com/event?e=80804&d=814170&f=ST,22
320,2,Justin Martinez,Izzet Lesson,658.0,https://mtgtop8.com/event?e=80804&d=814171&f=ST,22
321,3,Jackisch,Dimir Aggro,579.0,https://mtgtop8.com/event?e=80804&d=814172&f=ST,22
322,4,Kai Nankoe,Mono Green Landfall,641.0,https://mtgtop8.com/event?e=80804&d=814173&f=ST,22
323,5,Connor Mackenzie,Izzet Lesson,592.0,https://mtgtop8.com/event?e=80804&d=814176&f=ST,22
324,6,Alex Gimmi,Izzet Lesson,694.0,https://mtgtop8.com/event?e=80804&d=814177&f=ST,22
325,7,Bryu1,Jeskai Aggro,543.0,https://mtgtop8.com/event?e=80804&d=814174&f=ST,22
326,8,David Tian,Mono Green Landfall,633.0,https://mtgtop8.com/event?e=80804&d=814175&f=ST,22
327,1,David Koon,Mono Green Landfall,636.0,https://mtgtop8.com/event?e=80806&d=814185&f=ST,23
328,2,Ivan Espinosa,Bant Airbending,686.0,https://mtgtop8.com/event?e=80806&d=814186&f=ST,23
329,3,Njkong,Azorius Aggro,684.0,https://mtgtop8.com/event?e=80806&d=814188&f=ST,23
330,4,Zach Spors,UR Aggro,477.0,https://mtgtop8.com/event?e=80806&d=814187&f=ST,23
331,5,Haven Gilbert-avila,Dimir Aggro,683.0,https://mtgtop8.com/event?e=80806&d=814189&f=ST,23
332,6,Taidhg Tajalli,Red Deck Wins,238.0,https://mtgtop8.com/event?e=80806&d=814192&f=ST,23
333,7,Bradley Schlesinger,Roaming Elementals,910.0,https://mtgtop8.com/event?e=80806&d=814190&f=ST,23
334,8,Vinnie Fino,Roaming Elementals,851.0,https://mtgtop8.com/event?e=80806&d=814191&f=ST,23
335,1,Jakob Pablo,Izzet Lesson,643.0,https://mtgtop8.com/event?e=80807&d=814193&f=ST,24
336,2,Matthew Westwood,Rakdos Monument,482.0,https://mtgtop8.com/event?e=80807&d=814194&f=ST,24
337,3,Theepepe,Mono Green Landfall,662.0,https://mtgtop8.com/event?e=80807&d=814195&f=ST,24
338,4,Philip Silberman,Mono Green Landfall,625.0,https://mtgtop8.com/event?e=80807&d=814196&f=ST,24
339,5,Rssp1,Azorius Aggro,662.0,https://mtgtop8.com/event?e=80807&d=814199&f=ST,24
340,6,Henryknuth,Roaming Elementals,898.0,https://mtgtop8.com/event?e=80807&d=814198&f=ST,24
341,7,Oliver Voegeli,Superior Doomsday ,721.0,https://mtgtop8.com/event?e=80807&d=814197&f=ST,24
342,8,Gavin Meagher,UR Aggro,507.0,https://mtgtop8.com/event?e=80807&d=814200&f=ST,24
343,9,Jack Cramer,Boros Aggro,619.0,https://mtgtop8.com/event?e=80807&d=814204&f=ST,24
344,10,Michael ? Rodriguez,Dimir Control,529.0,https://mtgtop8.com/event?e=80807&d=814205&f=ST,24
345,11,Ryan Slone,Izzet Lesson,658.0,https://mtgtop8.com/event?e=80807&d=814203&f=ST,24
346,12,Sam Peagler,Izzet Lesson,673.0,https://mtgtop8.com/event?e=80807&d=814208&f=ST,24
347,13,Daniel Lebben,Mono Green Landfall,642.0,https://mtgtop8.com/event?e=80807&d=814201&f=ST,24
348,14,Kisalami,Mono Green Landfall,637.0,https://mtgtop8.com/event?e=80807&d=814206&f=ST,24
349,15,Brent Cohen,Rakdos Aggro,746.0,https://mtgtop8.com/event?e=80807&d=814207&f=ST,24
350,16,Tess Boswell,Temur Full Bore Harmonizer,476.0,https://mtgtop8.com/event?e=80807&d=814202&f=ST,24
351,1,Joao Quege,Boros Aggro,658.0,https://mtgtop8.com/event?e=80514&d=812011&f=ST,25
352,2,Isael Feitosa,Mono Green Landfall,644.0,https://mtgtop8.com/event?e=80514&d=812012&f=ST,25
353,3,Rodrigo Pinheiro,Azorius Aggro,666.0,https://mtgtop8.com/event?e=80514&d=812013&f=ST,25
354,4,Borreguinhas,Mono Green Landfall,687.0,https://mtgtop8.com/event?e=80514&d=812014&f=ST,25
355,5,Carlos Torrico,Dimir Aggro,565.0,https://mtgtop8.com/event?e=80514&d=812017&f=ST,25
356,6,Adriano Melo,Izzet Lesson,745.0,https://mtgtop8.com/event?e=80514&d=812018&f=ST,25
357,7,Guillermololi,Mono Green Landfall,700.0,https://mtgtop8.com/event?e=80514&d=812016&f=ST,25
358,8,Victor Santos Esquici,Superior Doomsday ,642.0,https://mtgtop8.com/event?e=80514&d=812015&f=ST,25
359,9,Thiago Saporito,Dimir Aggro,446.0,https://mtgtop8.com/event?e=80514&d=812024&f=ST,25
360,10,Patricio Roman,Izzet Lesson,624.0,https://mtgtop8.com/event?e=80514&d=812020&f=ST,25
361,11,Guilherme Vinicius Fragoso De Souza Guivini06,Izzet Spellementals,325.0,https://mtgtop8.com/event?e=80514&d=812026&f=ST,25
362,12,Siiu911,Mono Green Aggro,678.0,https://mtgtop8.com/event?e=80514&d=812023&f=ST,25
363,13,Luis Navas Flores,Red Deck Wins,215.0,https://mtgtop8.com/event?e=80514&d=812022&f=ST,25
364,14,Lucas Fernandes,Simic Nature's Rhythm,1004.0,https://mtgtop8.com/event?e=80514&d=812025&f=ST,25
365,15,Rastaf,Superior Doomsday ,643.0,https://mtgtop8.com/event?e=80514&d=812019&f=ST,25
366,16,Ariranhasx,Superior Doomsday ,651.0,https://mtgtop8.com/event?e=80514&d=812021&f=ST,25
367,17,Mario Palma,4c Roaming Elementals,1010.0,https://mtgtop8.com/event?e=80514&d=812033&f=ST,25
368,18,Guiyote,Azorius Aggro,675.0,https://mtgtop8.com/event?e=80514&d=812027&f=ST,25
369,19,Emanuel Sutter,Azorius Aggro,729.0,https://mtgtop8.com/event?e=80514&d=812034&f=ST,25
370,20,Jorge Aguirre,Azorius Aggro,665.0,https://mtgtop8.com/event?e=80514&d=812039&f=ST,25
371,21,Marco Figueroa,Boros Aggro,639.0,https://mtgtop8.com/event?e=80514&d=812029&f=ST,25
372,22,Marcelo Rodrigues Cavalcante,Dimir Aggro,546.0,https://mtgtop8.com/event?e=80514&d=812030&f=ST,25
