,Rank,Player,Name,Price,Link,TournamentIdx
370,63,Ryan Hayes,Weenie White ,352.0,https://mtgtop8.com/event?e=81570&d=819962&f=ST,20
371,64,Dylan Ham,Weenie White ,264.0,https://mtgtop8.com/event?e=81570&d=819978&f=ST,20
372,1,Nakamura Shuhei,Izzet Prowess,424.0,https://mtgtop8.com/event?e=81569&d=819914&f=ST,21
373,2,Nakamura Kouki,Weenie White ,301.0,https://mtgtop8.com/event?e=81569&d=819915&f=ST,21
374,3,Nakata Tsuyoshi,Dimir Aggro,491.0,https://mtgtop8.com/event?e=81569&d=819918&f=ST,21
375,4,Egeyama Tomoki,Izzet Prowess,425.0,https://mtgtop8.com/event?e=81569&d=819917&f=ST,21
376,5,Hamaguchi Masakuni,Mono Green Landfall,636.0,https://mtgtop8.com/event?e=81569&d=819916&f=ST,21
377,6,Kuroda Masashiro,Mono Green Landfall,756.0,https://mtgtop8.com/event?e=81569&d=819919&f=ST,21
378,1,Samhez,Allies,453.0,https://mtgtop8.com/event?e=81534&d=819573&f=ST,22
379,2,Milan Bhayana,Izzet Prowess,424.0,https://mtgtop8.com/event?e=81534&d=819574&f=ST,22
380,3,Jsegawa,Mono Green Aggro,581.0,https://mtgtop8.com/event?e=81534&d=819576&f=ST,22
381,4,Camari Bolger,Rakdos Aggro,455.0,https://mtgtop8.com/event?e=81534&d=819575&f=ST,22
382,5,Rswipes,Izzet Prowess,434.0,https://mtgtop8.com/event?e=81534&d=819577&f=ST,22
383,6,Bryan Blouin,Izzet Prowess,419.0,https://mtgtop8.com/event?e=81534&d=819578&f=ST,22
384,7,Cody Schreiner,Rakdos Monument,466.0,https://mtgtop8.com/event?e=81534&d=819580&f=ST,22
385,8,Ian Flinn,Red Deck Wins,180.0,https://mtgtop8.com/event?e=81534&d=819579&f=ST,22
386,1,Levi Gaines,Weenie White ,291.0,https://mtgtop8.com/event?e=81533&d=819565&f=ST,23
387,2,Davidmagill,Bant Airbending,731.0,https://mtgtop8.com/event?e=81533&d=819566&f=ST,23
388,3,Joseph Hunt,Boros Aggro,588.0,https://mtgtop8.com/event?e=81533&d=819568&f=ST,23
389,4,Clayton Strickland,Izzet Prowess,424.0,https://mtgtop8.com/event?e=81533&d=819567&f=ST,23
390,5,Joshua Holtzman,Golgari Aggro,539.0,https://mtgtop8.com/event?e=81533&d=819571&f=ST,23
391,6,Munchy556,Omniscience Combo,701.0,https://mtgtop8.com/event?e=81533&d=819569&f=ST,23
392,7,Tristan Shadd-simmons,Rakdos Aggro,611.0,https://mtgtop8.com/event?e=81533&d=819570&f=ST,23
393,8,Hounrawr,Weenie White ,484.0,https://mtgtop8.com/event?e=81533&d=819572&f=ST,23
394,1,Pat Cox,Mono Green Landfall,756.0,https://mtgtop8.com/event?e=81532&d=819549&f=ST,24
395,2,Domosaurus,UR Aggro,413.0,https://mtgtop8.com/event?e=81532&d=819550&f=ST,24
396,3,Grayson Nemets,Rakdos Aggro,455.0,https://mtgtop8.com/event?e=81532&d=819552&f=ST,24
397,4,Benjamin Wakefield,Superior Doomsday ,808.0,https://mtgtop8.com/event?e=81532&d=819551&f=ST,24
398,5,Tariq Patel,Izzet Lesson,590.0,https://mtgtop8.com/event?e=81532&d=819556&f=ST,24
399,6,Elesh_n,Izzet Prowess,396.0,https://mtgtop8.com/event?e=81532&d=819553&f=ST,24
400,7,Matthew Davis,Roaming Elementals,919.0,https://mtgtop8.com/event?e=81532&d=819554&f=ST,24
401,8,Joey Sprouse,Superior Doomsday ,683.0,https://mtgtop8.com/event?e=81532&d=819555&f=ST,24
402,9,Adam Lizzi,Azorius Aggro,549.0,https://mtgtop8.com/event?e=81532&d=819562&f=ST,24
403,10,John Houder,Izzet Prowess,411.0,https://mtgtop8.com/event?e=81532&d=819563&f=ST,24
404,11,Joshua Tomas,Izzet Spellementals,297.0,https://mtgtop8.com/event?e=81532&d=819560&f=ST,24
405,12,Gerrit Cyr,Izzet Spellementals,297.0,https://mtgtop8.com/event?e=81532&d=819561&f=ST,24
406,13,Jesse Piland,Mono Green Aggro,579.0,https://mtgtop8.com/event?e=81532&d=819558&f=ST,24
407,14,Rebecca Black,Roaming Elementals,835.0,https://mtgtop8.com/event?e=81532&d=819559&f=ST,24
408,15,Carson Wolf,Simic Nature's Rhythm,995.0,https://mtgtop8.com/event?e=81532&d=819557&f=ST,24
409,16,Zach Allen,UW Control,450.0,https://mtgtop8.com/event?e=81532&d=819564&f=ST,24
